Trig,,,,,,,,,,
Webwork Section,Link,Webwork key,DoenetId,parentDoenetId,Level 1 - chapter,Level 2 - section,Level 3 - title,Level 4 - version,MA 1155 Assignment,
Linear systems,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_lQMD2dX5H9t4JuJBmmqpC,13a,_lQMD2dX5H9t4JuJBmmqpC,_oR0Vb4HVewnbzk7sudjkq,,,2. TR-SysOfEq: Find solution to 2x2 system (version 2),2,,
Linear systems,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_3DDmvIob4qCxKCkvSdoTj,13a,_3DDmvIob4qCxKCkvSdoTj,_oR0Vb4HVewnbzk7sudjkq,,,3. TR-SysOfEq: Find solution to 2x2 system (version 3),3,,
Linear systems,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_dZDIt03kE9I5tTbtUUkGP,13a,_dZDIt03kE9I5tTbtUUkGP,_oR0Vb4HVewnbzk7sudjkq,,,4: TR-SysOfEq - Find solution to 2x2 system (version 4),4,,
Linear systems,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_UyqPmbRVIJRRkTJnvHw4Q,13a,_UyqPmbRVIJRRkTJnvHw4Q,_oR0Vb4HVewnbzk7sudjkq,,,5: TR-SysOfEq - Multiple choice; find number of solutions to a 2x2 system (version 1),1,,
#N/A,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_fabmUuT5ftZ4vATFdgQUm,,_fabmUuT5ftZ4vATFdgQUm,_oR0Vb4HVewnbzk7sudjkq,,,5a: TR-SysOfEq - variant a of 5,ignore for library,,
#N/A,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_Wcq7tUGqpoFYO3xPa3WAg,,_Wcq7tUGqpoFYO3xPa3WAg,_oR0Vb4HVewnbzk7sudjkq,,,5b. TR-SysOfEq: - variant b of 5,ignore for library,,
Linear systems,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_JqPf4fXXPFI8jsKpY6fOy,13a,_JqPf4fXXPFI8jsKpY6fOy,_oR0Vb4HVewnbzk7sudjkq,,,6: TR-SysOfEq - Multiple choice; find number of solutions to a 2x2 system (version 2),2,,
#N/A,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_wPvUteebPczlf72MRAYJq,,_wPvUteebPczlf72MRAYJq,_oR0Vb4HVewnbzk7sudjkq,,,6a: TR-SysOfEq - variant a of 6,ignore for library,,
#N/A,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_I1L5HidoU7gV9gTaal7tM,,_I1L5HidoU7gV9gTaal7tM,_oR0Vb4HVewnbzk7sudjkq,,,6b. TR-SysOfEq - variant b of 6,ignore for library,,
Linear systems,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_c3v5jq11nRU8wlokaXExl,13a,_c3v5jq11nRU8wlokaXExl,_oR0Vb4HVewnbzk7sudjkq,,,7: TR-SysOfEq - Multiple choice; find number of solutions to a 2x2 system (version 3),3,,
Linear systems,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_5hrGbglwCmIWYWVWUgofN,13a,_5hrGbglwCmIWYWVWUgofN,_oR0Vb4HVewnbzk7sudjkq,,,8: TR-SysOfEq - Find solution to 3x3 system (version 1),1,,
Linear systems,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_bo9vKWiVr4EHR76xYw9T4,13a,_bo9vKWiVr4EHR76xYw9T4,_oR0Vb4HVewnbzk7sudjkq,,,9: TR-SysOfEq - Find solution to 3x3 system (version 2),2,,
Nonlinear systems,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_GY6sfPaOIBcb1FuxUBix2,13b,_GY6sfPaOIBcb1FuxUBix2,_oR0Vb4HVewnbzk7sudjkq,,,10: TR-SysOfEq - Determine the x-coordinates of intersections of quadratic and linear,,,
Nonlinear systems,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_OIqvSDyqYBkF0k2LAdhJQ,13b,_OIqvSDyqYBkF0k2LAdhJQ,_oR0Vb4HVewnbzk7sudjkq,,,11. TR-SysOfEq - Determine the x-coordinates of intersections of circle and linear,,,
#N/A,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_8GIBmTAa99YyzZ0F3IMEW,,_8GIBmTAa99YyzZ0F3IMEW,_oR0Vb4HVewnbzk7sudjkq,,,Problem 12: TR-SysOfEq,,,
#N/A,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_WhUi8ztakkPmeArAz1Ptw,,_WhUi8ztakkPmeArAz1Ptw,_oR0Vb4HVewnbzk7sudjkq,,,Problem 13: TR-SysOfEq,,,
#N/A,https://www.doenet.org/courseactivityeditor//_jtYuE4ugcqk3Qc5myiSZt,,_jtYuE4ugcqk3Qc5myiSZt,,TR-Series,,,,,
Arithmetic,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_hLaBzJvlm4lcwTJw5uQuV,18b,_hLaBzJvlm4lcwTJw5uQuV,_jtYuE4ugcqk3Qc5myiSZt,,,1. TR-Series: Given explicit formula for an arithmetic sequence find a_n,,,
Notation,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_ef7In1fwO1rUxP3zO1NMH,18a,_ef7In1fwO1rUxP3zO1NMH,_jtYuE4ugcqk3Qc5myiSZt,,,2. TR-Series: Given recursive formula for an arithmetic sequence find a_n (version 1),1,,
Notation,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_n9p14k3Fqd9pMMCGUHJT9,18a,_n9p14k3Fqd9pMMCGUHJT9,_jtYuE4ugcqk3Qc5myiSZt,,,3: TR-Series - Multiple choice; given recursive formula  for an arithmetic sequence find a_n,,,
Notation,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_ASVIbKz6r3ByMT2yQhVrY,18a,_ASVIbKz6r3ByMT2yQhVrY,_jtYuE4ugcqk3Qc5myiSZt,,,4: TR-Series - Given recursive formula for an arithmetic sequence find a_n (version 2),2,,
Summation formulas,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_SYzAcEeij07vS8N5UwCcJ,18d,_SYzAcEeij07vS8N5UwCcJ,_jtYuE4ugcqk3Qc5myiSZt,,,5: TR-Series - Given sigma notation for an arithmetic series compute the sum (version 1),1,4,
Summation formulas,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_YR8TGkMtff9HgJ9LV7hLh,18d,_YR8TGkMtff9HgJ9LV7hLh,_jtYuE4ugcqk3Qc5myiSZt,,,6: TR-Series - Given sigma notation for an arithmetic series find initial and final terms,,,
Arithmetic,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_y93xIjlmLfeui53QWvuDy,18b,_y93xIjlmLfeui53QWvuDy,_jtYuE4ugcqk3Qc5myiSZt,,,7. TR-Series: Given two terms in an arithmetic sequence compute a_n,,,
Arithmetic,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_VnlQYX1KksLCveiJRLpu3,18b,_VnlQYX1KksLCveiJRLpu3,_jtYuE4ugcqk3Qc5myiSZt,,,9. TR-Series: Given two terms in an arithmetic sequence find explicit formula,,,
Summation formulas,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_QbWnlqzLEn9GdgV1Gf40V,18d,_QbWnlqzLEn9GdgV1Gf40V,_jtYuE4ugcqk3Qc5myiSZt,,,10: TR-Series - Given several terms of an arithmetic series compute the sum (version 1),1,,
Summation formulas,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_dhswsl36TrAcrEUq1HG9O,18d,_dhswsl36TrAcrEUq1HG9O,_jtYuE4ugcqk3Qc5myiSZt,,,11: TR-Series - Given sigma notation for an arithmetic series compute the sum (version 2),2,4 (combine with 5?),
Arithmetic,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_tcMDGEw0VOlwBRCPi9INV,18b,_tcMDGEw0VOlwBRCPi9INV,_jtYuE4ugcqk3Qc5myiSZt,,,12. TR-Series - Find the next term of an arithmetic sequence,,,
Summation formulas,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_YRqfQFCwLQ5OwITugDuGE,18d,_YRqfQFCwLQ5OwITugDuGE,_jtYuE4ugcqk3Qc5myiSZt,,,14. TR-Series - Given several terms of an arithmetic series compute the sum (version 2),2,4,
Geometric,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_1zYHARQU9ehNRgRkXPZGG,"18e, 18d",_1zYHARQU9ehNRgRkXPZGG,_jtYuE4ugcqk3Qc5myiSZt,,,15. TR-Series - Given several terms of a geometric series compute the sum ,,,
Geometric,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_mNIhysTGVqNIo7n114LBM,"18e, 18d",_mNIhysTGVqNIo7n114LBM,_jtYuE4ugcqk3Qc5myiSZt,,,18. TR-Series - Given sigma notation of a geometric series compute the sum; index from 0,,,
Geometric,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_lqP7JCbgrM9KN9waT6LYu,"18e, 18d",_lqP7JCbgrM9KN9waT6LYu,_jtYuE4ugcqk3Qc5myiSZt,,,19. TR-Series - Given sigma notation of a geometric series compute the sum; index from 1,,,
Binomial theorem,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_Kv0ni8AHD1unrs2BthYVl,18c,_Kv0ni8AHD1unrs2BthYVl,_jtYuE4ugcqk3Qc5myiSZt,,,Problem 20: TR-Series - Binomial expansion (version 1),1,,
Binomial theorem,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_pJjcH1ajB9TZwSvYl8kJA,18c,_pJjcH1ajB9TZwSvYl8kJA,_jtYuE4ugcqk3Qc5myiSZt,,,Problem 21: TR-Series - Binomial expansion (version 2),2,,
Binomial theorem,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_vlCUZjjbyaeLExWduNCJp,18c,_vlCUZjjbyaeLExWduNCJp,_jtYuE4ugcqk3Qc5myiSZt,,,Problem 22: TR-Series - Binomial expansion (version 3),3,,
Binomial theorem,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_cuA1djbfHrMq6lvc2FuAM,18c,_cuA1djbfHrMq6lvc2FuAM,_jtYuE4ugcqk3Qc5myiSZt,,,Problem 23: TR-Series - Binomial expansion (version 4),4,,
Binomial theorem,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_t6IPXAe5YgM3kRrCkoJqX,18c,_t6IPXAe5YgM3kRrCkoJqX,_jtYuE4ugcqk3Qc5myiSZt,,,24. TR-Series - Find coefficient of a given term using binomial theorem,,,
Geometric,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_iX5EmYmXq5BfhD9ioAXD2,18e,_iX5EmYmXq5BfhD9ioAXD2,_jtYuE4ugcqk3Qc5myiSZt,,,"29. TR-Series: Given two terms in a geometric sequence, find the common ratio",,,
Geometric,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_Lua0QLJQLWgxiMCC10aVJ,18e,_Lua0QLJQLWgxiMCC10aVJ,_jtYuE4ugcqk3Qc5myiSZt,,,"30. TR-Series: Given two terms in a geometric sequence, find the nth term",,,
Binomial theorem,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_SINN3FrzwNW5qbVGhKWt0,18c,_SINN3FrzwNW5qbVGhKWt0,_jtYuE4ugcqk3Qc5myiSZt,,,31: TR-Series - Binomial series expansion; determine parameters of a given term,,,
,https://www.doenet.org/courseactivityeditor//_2nqf6G4WNsGEajecpcfR5,,_2nqf6G4WNsGEajecpcfR5,,TR-Basics,,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_ffh16BdZBOWgZhAxbNLqZ,,_ffh16BdZBOWgZhAxbNLqZ,_2nqf6G4WNsGEajecpcfR5,,,1: TR-Basics - Counting integers in sequence,,,
"Radians, converting radians & degrees",https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_nXBccGjrakbRYvmyyySr5,T1c,_nXBccGjrakbRYvmyyySr5,_2nqf6G4WNsGEajecpcfR5,,,2: TR-Basics - Convert angle in degrees to radians; angles up to 315 degrees,,,
"Radians, converting radians & degrees",https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_fodvHfRtiJfKJ4l3dDOHe,T1c,_fodvHfRtiJfKJ4l3dDOHe,_2nqf6G4WNsGEajecpcfR5,,,3: TR-Basics - Convert angle in radians to degrees,,,
"Radians, converting radians & degrees",https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_Kf5lEVGdz3g7i0uI1duJs,T1c,_Kf5lEVGdz3g7i0uI1duJs,_2nqf6G4WNsGEajecpcfR5,,,4. TR-Basics - Convert angle in degrees to radians; large or negative angles,,,
"Radians, converting radians & degrees",https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_Q5RBzGWEvniIOyQA4sLvR,T1c,_Q5RBzGWEvniIOyQA4sLvR,_2nqf6G4WNsGEajecpcfR5,,,5. TR-Basics - Convert angle in radians to degrees; multiple choice,,,
#N/A,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_FDU9FKfYzXmhR4UlICW0c,,_FDU9FKfYzXmhR4UlICW0c,_2nqf6G4WNsGEajecpcfR5,,,6. TR-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_4oCFdEdvG6P56VZN8Cpha,,_4oCFdEdvG6P56VZN8Cpha,_2nqf6G4WNsGEajecpcfR5,,,7. TR-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_TWHXNQLMw9ZbJSepK5cht,,_TWHXNQLMw9ZbJSepK5cht,_2nqf6G4WNsGEajecpcfR5,,,8. TR-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_62gGTMSqHRKdihXh6rX9A,,_62gGTMSqHRKdihXh6rX9A,_2nqf6G4WNsGEajecpcfR5,,,9. TR-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_YWzz34cxn22L9zZHk3Nr3,,_YWzz34cxn22L9zZHk3Nr3,_2nqf6G4WNsGEajecpcfR5,,,10. TR-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_OZGsaEEOmDbsFwbxfPCwM,,_OZGsaEEOmDbsFwbxfPCwM,_2nqf6G4WNsGEajecpcfR5,,,11. TR-Basics,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_S2KODBtbZRcViUY6tvnyd,T2g,_S2KODBtbZRcViUY6tvnyd,_2nqf6G4WNsGEajecpcfR5,,,12. TR-Basics - Cos of Q1 angle degrees,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_mYmLBGciNt7V7Ga2SIjbY,T2g,_mYmLBGciNt7V7Ga2SIjbY,_2nqf6G4WNsGEajecpcfR5,,,13. TR-Basics - Cos of Q2 angle degrees,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_qHdnTnFT4WpGgDUrQNyUs,T2g,_qHdnTnFT4WpGgDUrQNyUs,_2nqf6G4WNsGEajecpcfR5,,,14. TR-Basics - Cos of Q3 angle degrees positive,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_0c0PW0PDkGVmOLO5XtB9s,T2g,_0c0PW0PDkGVmOLO5XtB9s,_2nqf6G4WNsGEajecpcfR5,,,15. TR-Basics - Cos of Q3 angle degrees negative,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_pV2fk3QKvesIFqPsMvnM7,T2g,_pV2fk3QKvesIFqPsMvnM7,_2nqf6G4WNsGEajecpcfR5,,,16. TR-Basics - Cos of Q4 angle degrees positive,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_a17oCiuAcgIRmxuJWfYCn,T2g,_a17oCiuAcgIRmxuJWfYCn,_2nqf6G4WNsGEajecpcfR5,,,17. TR-Basics - cos of Q4 angle degrees negative,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_esq7E4OI1ZGiYXVyGrww8,T2g,_esq7E4OI1ZGiYXVyGrww8,_2nqf6G4WNsGEajecpcfR5,,,18. TR-Basics - Sin of Q1 angle degrees,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_Sqnemm1QpC1FOX3tJbMe4,T2g,_Sqnemm1QpC1FOX3tJbMe4,_2nqf6G4WNsGEajecpcfR5,,,19. TR-Basic - Sin of Q2 angle degrees,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_LoZnC55Dn2SGx7PArXlrc,T2g,_LoZnC55Dn2SGx7PArXlrc,_2nqf6G4WNsGEajecpcfR5,,,20. TR-Basics - Sin of Q3 angle degrees positive,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_eYr0fB01a6XML79o3Kz9t,T2g,_eYr0fB01a6XML79o3Kz9t,_2nqf6G4WNsGEajecpcfR5,,,21. TR-Basics - Sin of Q3 angle degrees negative,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_z3InWvACFtXQWSkRYD3Ly,T2g,_z3InWvACFtXQWSkRYD3Ly,_2nqf6G4WNsGEajecpcfR5,,,22. TR-Basics - Sin of Q4 angle degrees positive,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_PPwVBf7aR7TucuuO0UnBc,T2g,_PPwVBf7aR7TucuuO0UnBc,_2nqf6G4WNsGEajecpcfR5,,,23. TR-Basics - Sin of Q4 angle degrees negative,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_RR3Fq8cGYKsVE7bBDD0ib,T2g,_RR3Fq8cGYKsVE7bBDD0ib,_2nqf6G4WNsGEajecpcfR5,,,24. TR-Basics - Cos of Q1 angle radians,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_wkDGV9HT89INaIA54ig6r,T2g,_wkDGV9HT89INaIA54ig6r,_2nqf6G4WNsGEajecpcfR5,,,25. TR-Basics - Cos of Q2 angle radians,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_m237rrA9uGaMWe6fSPUzx,T2g,_m237rrA9uGaMWe6fSPUzx,_2nqf6G4WNsGEajecpcfR5,,,26. TR-Basics - Cos of Q3 angle radians positive,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_Yw2OtgYLp87bN0f1YpCD5,T2g,_Yw2OtgYLp87bN0f1YpCD5,_2nqf6G4WNsGEajecpcfR5,,,27. TR-Basics - Cos of Q3 angle radians negative,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_Jl8LOcsvLpfSdkHNxLiQc,T2g,_Jl8LOcsvLpfSdkHNxLiQc,_2nqf6G4WNsGEajecpcfR5,,,28. TR-Basics - Cos of Q4 angle radians positive,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_t88QU9E9IMMOx5rknJxjW,T2g,_t88QU9E9IMMOx5rknJxjW,_2nqf6G4WNsGEajecpcfR5,,,29. TR-Basics - Cos of Q4 angle radians negative,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_17EcTtaipr4n15iXbTYDg,T2g,_17EcTtaipr4n15iXbTYDg,_2nqf6G4WNsGEajecpcfR5,,,30. TR-Basics - Sin of Q1 angle radians,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_XVcAkKDDgUsHI9kh8fRuH,T2g,_XVcAkKDDgUsHI9kh8fRuH,_2nqf6G4WNsGEajecpcfR5,,,31. TR-Basics - Sin of Q2 angle radians,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_VToXLhz5mWbYEosoTjO4x,T2g,_VToXLhz5mWbYEosoTjO4x,_2nqf6G4WNsGEajecpcfR5,,,32. TR-Basics - Sin of Q3 angle radians positive,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_Or7ahrEMtRJAppTszr3xf,T2g,_Or7ahrEMtRJAppTszr3xf,_2nqf6G4WNsGEajecpcfR5,,,33. TR-Basics - Sin of Q3 angle radians negative,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_uV9UKCfsessfAQvIXInjG,T2g,_uV9UKCfsessfAQvIXInjG,_2nqf6G4WNsGEajecpcfR5,,,34. TR-Basics - Sin of Q4 angle radians positive,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_yG5x0kOqkKdQwO05AZm84,T2g,_yG5x0kOqkKdQwO05AZm84,_2nqf6G4WNsGEajecpcfR5,,,35. TR-Basics - Sin of Q4 angle radians negative,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_P1QZBqAr788CIcIIydlXI,T2g,_P1QZBqAr788CIcIIydlXI,_2nqf6G4WNsGEajecpcfR5,,,36. TR-Basics - Sin of a large or neg angle in radians,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_4iAKeuO1vPp6OLZgQl9cE,T2g,_4iAKeuO1vPp6OLZgQl9cE,_2nqf6G4WNsGEajecpcfR5,,,37. TR-Basics - Sin of a large or neg angle in radians,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_83LzUHLLh9ZFKZfC0TOr8,T2g,_83LzUHLLh9ZFKZfC0TOr8,_2nqf6G4WNsGEajecpcfR5,,,38. TR-Basics - Sin of a large or neg angle in radians,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_Pgw7INi9ULublaZgew2Ui,T2g,_Pgw7INi9ULublaZgew2Ui,_2nqf6G4WNsGEajecpcfR5,,,39. TR-Basics - Sin of a large or neg angle in radians,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_WSgWEqkdOlxAtT1732Trv,T2g,_WSgWEqkdOlxAtT1732Trv,_2nqf6G4WNsGEajecpcfR5,,,40. TR-Basics - Sin of a large or neg angle in radians,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_f3L2LdBfMIERMZgP9fxRw,T2g,_f3L2LdBfMIERMZgP9fxRw,_2nqf6G4WNsGEajecpcfR5,,,41. TR-Basics - Cos of a large or neg angle in radians,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_y5hP8SEkeGL1rPi1fOku3,T2g,_y5hP8SEkeGL1rPi1fOku3,_2nqf6G4WNsGEajecpcfR5,,,42. TR-Basics - Cos of a large or neg angle in radians,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_0lfTc0v2nxFH55ZIuMika,T2g,_0lfTc0v2nxFH55ZIuMika,_2nqf6G4WNsGEajecpcfR5,,,43. TR-Basics - Cos of a large or neg angle in radians,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_9jAEcvqaNr0OHxIv6FH9J,T2g,_9jAEcvqaNr0OHxIv6FH9J,_2nqf6G4WNsGEajecpcfR5,,,44. TR-Basics - Cos of a large or neg angle in radians,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_wLSMkWAcNRXCJv3mNqomq,T2g,_wLSMkWAcNRXCJv3mNqomq,_2nqf6G4WNsGEajecpcfR5,,,45. TR-Basics - Cos of a large or neg angle in radians,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_wJqEVuM0MMvEVKI4NewTf,T2g,_wJqEVuM0MMvEVKI4NewTf,_2nqf6G4WNsGEajecpcfR5,,,46. TR-Basics - Sin of a large or neg angle in degrees,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_jiBZJykA9Gli83ss2O3IK,T2g,_jiBZJykA9Gli83ss2O3IK,_2nqf6G4WNsGEajecpcfR5,,,47. TR-Basics - Sin of a large or neg angle in degrees,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_Y7whT4I7Cs2Y13LdgvmwA,T2g,_Y7whT4I7Cs2Y13LdgvmwA,_2nqf6G4WNsGEajecpcfR5,,,48. TR-Basics - Cos of a large or neg angle in degrees,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_F4Q2K3ybU6bd5yVmKDSsL,T2g,_F4Q2K3ybU6bd5yVmKDSsL,_2nqf6G4WNsGEajecpcfR5,,,49. TR-Basics - Cos of a large or neg angle in degrees,,,
Unit circle,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_5DoYhMACsgx621IMItzVa,T2a,_5DoYhMACsgx621IMItzVa,_2nqf6G4WNsGEajecpcfR5,,,50. TR-Basics - Determine equivalent angle in degrees,,,
Using and proving basic identities,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_Cs41oTKWjAI0gMdMe9nUm,T4c,_Cs41oTKWjAI0gMdMe9nUm,_2nqf6G4WNsGEajecpcfR5,,,51. TR-Basics - Multiple choice; select the unequal expression by applying trig identities,,,
Trigonometric functions of special angles,https://www.doenet.org/courseactivityeditor/_2nqf6G4WNsGEajecpcfR5/_FWPyjxbR8sJYBwPhZshpG,T2g,_FWPyjxbR8sJYBwPhZshpG,_2nqf6G4WNsGEajecpcfR5,,,52. TR-Basics - Multiple choice; cos of large or negative angle in degrees,,,
