Trig,Prob,,,,Heirarchy Levels,,highlighted yellow means needs formal review,,,,,,,
"Symmetry: even, odd, neither",https://www.doenet.org/portfolioeditor/_294qgGfEViY3mF6Appxq0,7g,_294qgGfEViY3mF6Appxq0,,,,Multiple choice; determine symmetry of x^2 plus 2x given graph,,"new conversion, just in library",,,_EOStW4M74lil2RxfW50gK,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_EOStW4M74lil2RxfW50gK
"Symmetry: even, odd, neither",https://www.doenet.org/portfolioeditor/_KyebYLRM1k3GhlinQ9tPe,7g,_KyebYLRM1k3GhlinQ9tPe,,,,Multiple choice; determine symmetry of (x^2 plus 1)/x given graph,,"new conversion, just in library",,,_QvafvsVjCp9aHGNuzAC8k,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_QvafvsVjCp9aHGNuzAC8k
"Symmetry: even, odd, neither",https://www.doenet.org/portfolioeditor/_MD5GQhXq0deysVr1WdiQO,7g,_MD5GQhXq0deysVr1WdiQO,,,,Multiple choice; determine symmetry of e^(-x) given graph,,"new conversion, just in library",,,_PN9NpJUT3Y43ZTShSGr2u,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_PN9NpJUT3Y43ZTShSGr2u
"Symmetry: even, odd, neither",https://www.doenet.org/portfolioeditor/_ssv42BkeIvk8vB9f7b9LC,7g,_ssv42BkeIvk8vB9f7b9LC,,,,Multiple choice; determine symmetry of arcsin(x) given graph,,"new conversion, just in library",,,_6Hrt2cVIgXm6ZwbRY52wz,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_6Hrt2cVIgXm6ZwbRY52wz
"Symmetry: even, odd, neither",https://www.doenet.org/portfolioeditor/_wfhJfPgYJvR2KRzWOgEbU,7g,_wfhJfPgYJvR2KRzWOgEbU,,,,Multiple choice; determine symmetry of arctan(x) given graph,,"new conversion, just in library",,,_PaVduHoVcODRZ4T6wX559,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_PaVduHoVcODRZ4T6wX559
Reflections and symmetry,https://www.doenet.org/portfolioeditor/_q6NqY7SwhPdzLX6P1rdHC,"7m, 7g",_q6NqY7SwhPdzLX6P1rdHC,,,,Multiple choice; determine symmetry of a circle given graph,,"new conversion, just in library",,,_3ZAstt07e7iUgcPQU6P6i,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_3ZAstt07e7iUgcPQU6P6i
"Symmetry: even, odd, neither",https://www.doenet.org/portfolioeditor/_yAlG0zjKYUrPTGmBGvTVo,7g,_yAlG0zjKYUrPTGmBGvTVo,,,,Multiple choice; determine symmetry of arccos(x) given graph,,"new conversion, just in library",,,_GuXxKkNTdXdmuK76ScUSu,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_GuXxKkNTdXdmuK76ScUSu
Graphs,https://www.doenet.org/portfolioeditor/_t9l5CyQqyNdBPNFd9GMVS,"7n, 7g",_t9l5CyQqyNdBPNFd9GMVS,,,,Construct an odd function satisfying geometric criteria,,new problem,,,,,
"Symmetry: even, odd, neither",https://www.doenet.org/portfolioeditor/_xIMkZHfrj70dDEA58btn1,7g,_xIMkZHfrj70dDEA58btn1,,,,66. BA-Basics:  Multiple choice; determine symmetry of a quadratic given equation,,,,,_7SPdXFzGbt7nmJyg1nBZL,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_7SPdXFzGbt7nmJyg1nBZL
"Symmetry: even, odd, neither",https://www.doenet.org/portfolioeditor/_Cl2poIUhUoLRZPBS9HfFE,7g,_Cl2poIUhUoLRZPBS9HfFE,,,,67. BA-Basics: Multiple choice; determine symmetry of a shifted cubic given equation,,,,,_Iewk35VgfzXfxBjjoXX8O,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_Iewk35VgfzXfxBjjoXX8O
"Symmetry: even, odd, neither",https://www.doenet.org/portfolioeditor/_M6Cn06rIMBCvxzFm5kE8b,7g,_M6Cn06rIMBCvxzFm5kE8b,,,,68. BA-Basics: Multiple choice; determine symmetry of a stretched cubic given equation,,,,,_AFRiG2eERuJT1Os6tC4mO,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_AFRiG2eERuJT1Os6tC4mO
"Symmetry: even, odd, neither",https://www.doenet.org/portfolioeditor/_z4cE16HQz47BGTbWQDsLs,7g,_z4cE16HQz47BGTbWQDsLs,,,,69. BA-Basics: Multiple choice; determine symmetry of a shifted quadratic given equation,,,,,_2GHLW6jHNbiUOzhryYt5Y,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_2GHLW6jHNbiUOzhryYt5Y
Reflections and symmetry,https://www.doenet.org/portfolioeditor/_XaTiDizL87mKUwiTHXPkX,7m,_XaTiDizL87mKUwiTHXPkX,,,,70. BA-Basics: Multiple choice; determine symmetry of an ellipse given equation,,,,,_8tOR68wmwpavWLYEQMglz,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_8tOR68wmwpavWLYEQMglz
"Symmetry: even, odd, neither",https://www.doenet.org/portfolioeditor/_TxoxkTEAldAiDqOp36c7g,7g,_TxoxkTEAldAiDqOp36c7g,,,,71. BA-Basics: Multiple choice; determine symmetry of a rational function given equation,,,,,_tNTc3txysPW1pXHB4ZsG5,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_tNTc3txysPW1pXHB4ZsG5
"Symmetry: even, odd, neither",https://www.doenet.org/portfolioeditor/_q3APRif2XVrjEGQX3ebpR,7g,_q3APRif2XVrjEGQX3ebpR,,,,72. BA-Basics: Multiple choice; determine symmetry given y = 1/x,,,,,_5LcVsUzay8yVrXRhYqxAD,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_5LcVsUzay8yVrXRhYqxAD
Reflections and symmetry,https://www.doenet.org/portfolioeditor/_nNQQnQG6amwKLZRjYMOvw,7m,_nNQQnQG6amwKLZRjYMOvw,,,,73. BA-Basics: Multiple choice; determine symmetry given equation of a quadratic in y,,,,,_SE8OJDFjS9UjyxrhYUkhW,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_SE8OJDFjS9UjyxrhYUkhW
Simplify rational expressions,https://www.doenet.org/portfolioeditor/_5gQWLfEskzhi9qJ7LB2md,10f,_5gQWLfEskzhi9qJ7LB2md,,,,74. BA-Basics - Factor rational expression; binomial terms cancel,,,,,_2VBj4purPkXDaHI2sL2IF,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_2VBj4purPkXDaHI2sL2IF
Simplify rational expressions,https://www.doenet.org/portfolioeditor/_CV3vbRnKzvAX3ldFymLCy,10f,_CV3vbRnKzvAX3ldFymLCy,,,,"75. BA-Basics - Factor rational expression; numerator GCF constant times x, cubic in denominator",,,,,_XHVLSJWa43qusYzl6MZ1U,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_XHVLSJWa43qusYzl6MZ1U
Simplify rational expressions,https://www.doenet.org/portfolioeditor/_nA1a8eg6AKT5AGLxNdFTx,10f,_nA1a8eg6AKT5AGLxNdFTx,,,,76. BA-Basics - Factor rational expression; denominator cubic with difference of squares,,,,,_L1UiYj3iS8JMfwBQFPmcg,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_L1UiYj3iS8JMfwBQFPmcg
