Trig,Prob,,,,Heirarchy Levels,,highlighted yellow means needs formal review,,,,,,,
#N/A,,,,,,,,,Link to Problem 20: TR-Series - expand binomial to third degree,,,_sFZckahUhSSGBmJvT6HQA,,https://www.doenet.org/courseactivityeditor//_sFZckahUhSSGBmJvT6HQA
#N/A,,,,,,,,,Link to Problem 21: TR-Series - expand binomial to fourth degree,,,_XdO3e2mtOj9y3zJYH20eX,,https://www.doenet.org/courseactivityeditor//_XdO3e2mtOj9y3zJYH20eX
#N/A,,,,,,,,,Link to Problem 22: TR-Series - binomial expansion to fifth degree,,,_tSOr3JsD7evsmKh1TyfMg,,https://www.doenet.org/courseactivityeditor//_tSOr3JsD7evsmKh1TyfMg
#N/A,,,,,,,,,Link to Problem 23: TR-Series - binomial expansion sixth degree,,,_yiS9Wi2m1flWQW1BIpEau,,https://www.doenet.org/courseactivityeditor//_yiS9Wi2m1flWQW1BIpEau
#N/A,,,,,,,HWV - Advanced,,,,,_fA27LhZZt5gPfPPVVyQMN,,https://www.doenet.org/courseactivityeditor//_fA27LhZZt5gPfPPVVyQMN
#N/A,,,,,,,,HWV - 6.4 Equation of Hyperbolas,,,,_TLgfAQZBqAskSmReeUegw,,https://www.doenet.org/courseactivityeditor//_TLgfAQZBqAskSmReeUegw
#N/A,,,,,,,,,,,,_6H6NmRX072ckXWJNQ4rda,,https://www.doenet.org/courseactivityeditor//_6H6NmRX072ckXWJNQ4rda
#N/A,,,,,,,,,Link to Problem 19: TR-Conics - hyperbola given graph determine equation parameters,,,_QVlDfTBATYt1Dnfwu4Uob,,https://www.doenet.org/courseactivityeditor//_QVlDfTBATYt1Dnfwu4Uob
#N/A,,,,,,,,,Link to Problem 20: TR-Conics - hyperbola given graph determine equation parameters,,,_ts8VRtCY3zzmLqhR1IFU5,,https://www.doenet.org/courseactivityeditor//_ts8VRtCY3zzmLqhR1IFU5
#N/A,,,,,,,,HWV - 6.6 Parametric Equations,,,,_zLQOZdJrKWrzO24Hv4ZAk,,https://www.doenet.org/courseactivityeditor//_zLQOZdJrKWrzO24Hv4ZAk
#N/A,,,,,,,,,,,,_h1rtRvKe48G1Ym5ysgREP,,https://www.doenet.org/courseactivityeditor//_h1rtRvKe48G1Ym5ysgREP
#N/A,,,,,,,,,Link to Problem 31: TR-Conics - parametric equation of a line segment,,,_eN6966zmrDnQwCbwL3n5U,,https://www.doenet.org/courseactivityeditor//_eN6966zmrDnQwCbwL3n5U
#N/A,,,,,,,,,Link to Problem 32: TR-Conics - parametric equation of an ellipse,,,_XKTXHV9pYXltX7OUEg45c,,https://www.doenet.org/courseactivityeditor//_XKTXHV9pYXltX7OUEg45c
#N/A,,,,,,,,HWV - X.1 Linear Speed and Angular Speed,,,,_RHxmVPU2JtwCA1ndtbKcz,,https://www.doenet.org/courseactivityeditor//_RHxmVPU2JtwCA1ndtbKcz
#N/A,,,,,,,,,,,,_B2lbpOJG9wXRKHe63r3ze,,https://www.doenet.org/courseactivityeditor//_B2lbpOJG9wXRKHe63r3ze
#N/A,,,,,,,,,Link to 113. TR-Basics - angular speed to linear speed of a tractor,,,_7PX9XttTe9FKvSASEiTt3,,https://www.doenet.org/courseactivityeditor//_7PX9XttTe9FKvSASEiTt3
#N/A,,,,,,,,,Link to 114. TR-Basics - angular speed to linear speed of a bicycle,,,_Iy6lOquEIoMvfEEQFL1Rc,,https://www.doenet.org/courseactivityeditor//_Iy6lOquEIoMvfEEQFL1Rc
#N/A,,,,,,,,,Link to 115. TR-Basics - linear speed to angular speed of a car,,,_fj1AOoehwjII0yEgbez2c,,https://www.doenet.org/courseactivityeditor//_fj1AOoehwjII0yEgbez2c
#N/A,,,,,,,,,Link to 116. TR-Basics - linear speed to angular speed of a wheelbarrow,,,_ojuL7VM6kAIjaVPb1sHPB,,https://www.doenet.org/courseactivityeditor//_ojuL7VM6kAIjaVPb1sHPB
#N/A,,,,,,,Practice Quizzes,,,,,_bVfLqImPNL1DxZduqflra,,https://www.doenet.org/courseactivityeditor//_bVfLqImPNL1DxZduqflra
#N/A,,,,,,,,Quiz 1A - Solving right triangles,,,,_dFoRqKt5gJ5Zsj6CTTPjb,,https://www.doenet.org/courseactivityeditor//_dFoRqKt5gJ5Zsj6CTTPjb
#N/A,,,,,,,,,,,,_X9kbcjboe6gDkgESbjan2,,https://www.doenet.org/courseactivityeditor//_X9kbcjboe6gDkgESbjan2
#N/A,,,,,,,,,from TR-Triangles #1-3,,,_tmlwaZsGrsrNk6F5KzIF6,,https://www.doenet.org/courseactivityeditor//_tmlwaZsGrsrNk6F5KzIF6
#N/A,,,,,,,,,,"Link to 1. TR-Triangles: right triangle - find A, B, b",,_7rYSuPq26pdBBwR1bh4Gb,,https://www.doenet.org/courseactivityeditor//_7rYSuPq26pdBBwR1bh4Gb
#N/A,,,,,,,,,,"Link to 2. TR-Triangles: right triangle - find A,B,c",,_jFcVUIjRamKrmrUckbgDt,,https://www.doenet.org/courseactivityeditor//_jFcVUIjRamKrmrUckbgDt
#N/A,,,,,,,,,,"Link to 3. TR-Triangles: right triangle - find A,B,a",,_kKUHTlOyfGA9GIUWRAbPA,,https://www.doenet.org/courseactivityeditor//_kKUHTlOyfGA9GIUWRAbPA
#N/A,,,,,,,,,,,,_N5TL5UMqpfu4rjUDgUHLv,,https://www.doenet.org/courseactivityeditor//_N5TL5UMqpfu4rjUDgUHLv
#N/A,,,,,,,,,from TR-Triangles #4-9,,,_BPkVmsAmPseFpvEGiOZrw,,https://www.doenet.org/courseactivityeditor//_BPkVmsAmPseFpvEGiOZrw
#N/A,,,,,,,,,,"Link to 4. TR-Triangles: right triangle - find a,b,B",,_4ZebUdfw3wUtyOn7WBGk1,,https://www.doenet.org/courseactivityeditor//_4ZebUdfw3wUtyOn7WBGk1
#N/A,,,,,,,,,,"Link to 5. TR-Triangles: right triangle - find a,c,B",,_sIHaN0s7JOF2PitHFTcZY,,https://www.doenet.org/courseactivityeditor//_sIHaN0s7JOF2PitHFTcZY
#N/A,,,,,,,,,,"Link to 6. TR-Triangles: right triangle - find b,c,B",,_7DMXvX1AXwrz95O6gdns8,,https://www.doenet.org/courseactivityeditor//_7DMXvX1AXwrz95O6gdns8
#N/A,,,,,,,,,,"Link to 7. TR-Triangles: right triangle - find b,c,A",,_oy9cbdZGC9UmMysiSiYxZ,,https://www.doenet.org/courseactivityeditor//_oy9cbdZGC9UmMysiSiYxZ
#N/A,,,,,,,,,,"Link to 8. TR-Triangles: right triangle - find a,c,A",,_mUsiGZeB8RVGQWcApiBFA,,https://www.doenet.org/courseactivityeditor//_mUsiGZeB8RVGQWcApiBFA
#N/A,,,,,,,,,,"Link to 9. TR-Triangles: right triangle - find a,b,A",,_TQHhs6aNPYDwZKb2uEybM,,https://www.doenet.org/courseactivityeditor//_TQHhs6aNPYDwZKb2uEybM
#N/A,,,,,,,,Quiz 1B - Unit Circle,,,,_dl7Vidm7x4iZ59ViWdyat,,https://www.doenet.org/courseactivityeditor//_dl7Vidm7x4iZ59ViWdyat
#N/A,,,,,,,,,,,,_sKkvrW1uXkO3p3mhIIEhY,,https://www.doenet.org/courseactivityeditor//_sKkvrW1uXkO3p3mhIIEhY
#N/A,,,,,,,,,from TR-Basics in degrees,,,_yg3FeRqImna9qNWZmJWHB,,https://www.doenet.org/courseactivityeditor//_yg3FeRqImna9qNWZmJWHB
#N/A,,,,,,,,,,Link to 12. TR-Basics - cos of Q1 angle degrees,,_CcsI1VKulaYUYlK76IydU,,https://www.doenet.org/courseactivityeditor//_CcsI1VKulaYUYlK76IydU
#N/A,,,,,,,,,,Link to 13. TR-Basics - cos of Q2 angle degrees,,_jQwh3sqEIWvXuCpRYfvCr,,https://www.doenet.org/courseactivityeditor//_jQwh3sqEIWvXuCpRYfvCr
#N/A,,,,,,,,,,Link to 14. TR-Basics - cos of Q3 angle degrees positive,,_UtPFf6oHHdSuXV57lID67,,https://www.doenet.org/courseactivityeditor//_UtPFf6oHHdSuXV57lID67
#N/A,,,,,,,,,,Link to 15. TR-Basics - cos of Q3 angle degrees negative,,_HyJ4aGhn86hv3jlVK22cY,,https://www.doenet.org/courseactivityeditor//_HyJ4aGhn86hv3jlVK22cY
#N/A,,,,,,,,,,Link to 16. TR-Basics - cos of Q4 angle degrees positive,,_SVNSCP7LUwLk6KSnobhVp,,https://www.doenet.org/courseactivityeditor//_SVNSCP7LUwLk6KSnobhVp
#N/A,,,,,,,,,,Link to 17. TR-Basics - cos of Q4 angle degrees negative,,_0qnFhT3oXV1jCYdnq0GYh,,https://www.doenet.org/courseactivityeditor//_0qnFhT3oXV1jCYdnq0GYh
#N/A,,,,,,,,,,Link to 18. TR-Basics - sin of Q1 angle degrees,,_Z7D43icx70gKjy3Y2pc5k,,https://www.doenet.org/courseactivityeditor//_Z7D43icx70gKjy3Y2pc5k
#N/A,,,,,,,,,,Link to 19. TR-Basic - sin of Q2 angle degrees,,_lP5kr2jqel2bdMCZM33tR,,https://www.doenet.org/courseactivityeditor//_lP5kr2jqel2bdMCZM33tR
#N/A,,,,,,,,,,Link to 20. TR-Basics - sin of Q3 angle degrees positive,,_ZreOIXhLgGfGz6qxiewIQ,,https://www.doenet.org/courseactivityeditor//_ZreOIXhLgGfGz6qxiewIQ
#N/A,,,,,,,,,,Link to 21. TR-Basics - sin of Q3 angle degrees negative,,_YTslyHV0a74K6rEeuICgM,,https://www.doenet.org/courseactivityeditor//_YTslyHV0a74K6rEeuICgM
#N/A,,,,,,,,,,Link to 22. TR-Basics - sin of Q4 angle degrees positive,,_xBaJHwf8dhpwyjqRnVykY,,https://www.doenet.org/courseactivityeditor//_xBaJHwf8dhpwyjqRnVykY
#N/A,,,,,,,,,,Link to 23. TR-Basics - sin of Q4 angle degrees negative,,_d54l7nESTcxm0nweXUrVd,,https://www.doenet.org/courseactivityeditor//_d54l7nESTcxm0nweXUrVd
#N/A,,,,,,,,,,,,_uGZDNvWKfhwxC4L115NSK,,https://www.doenet.org/courseactivityeditor//_uGZDNvWKfhwxC4L115NSK
#N/A,,,,,,,,,from TR-Basics in radians,,,_hG8he0Z7i7ZLjNUgKCnrP,,https://www.doenet.org/courseactivityeditor//_hG8he0Z7i7ZLjNUgKCnrP
#N/A,,,,,,,,,,Link to 24. TR-Basics - cos of Q1 angle radians,,_G725AUiuResYxVNYmOI2U,,https://www.doenet.org/courseactivityeditor//_G725AUiuResYxVNYmOI2U
#N/A,,,,,,,,,,Link to 25. TR-Basics - cos of Q2 angle radians,,_CmUu0ip7ocHc8t6bJfEQJ,,https://www.doenet.org/courseactivityeditor//_CmUu0ip7ocHc8t6bJfEQJ
#N/A,,,,,,,,,,Link to 26. TR-Basics - cos of Q3 angle radians positive,,_WnAC4oNQa54Fetcma0EeP,,https://www.doenet.org/courseactivityeditor//_WnAC4oNQa54Fetcma0EeP
#N/A,,,,,,,,,,Link to 27. TR-Basics - cos of Q3 angle radians negative,,_lELOmKane7cmPcHkhL8Hh,,https://www.doenet.org/courseactivityeditor//_lELOmKane7cmPcHkhL8Hh
#N/A,,,,,,,,,,Link to 28. TR-Basics - cos of Q4 angle radians positive,,_YuI1Axf6CPlkmA79j6kdF,,https://www.doenet.org/courseactivityeditor//_YuI1Axf6CPlkmA79j6kdF
#N/A,,,,,,,,,,Link to 29. TR-Basics - cos of Q4 angle radians negative,,_9ZFFGEfBC05z1RdfAl2ry,,https://www.doenet.org/courseactivityeditor//_9ZFFGEfBC05z1RdfAl2ry
#N/A,,,,,,,,,,Link to 30. TR-Basics - sin of Q1 angle radians,,_qxRTM8A60hIxFXudkUkll,,https://www.doenet.org/courseactivityeditor//_qxRTM8A60hIxFXudkUkll
#N/A,,,,,,,,,,Link to 31. TR-Basics - sin of Q2 angle radians,,_HKalgkzMVYuIvI2lBi6pc,,https://www.doenet.org/courseactivityeditor//_HKalgkzMVYuIvI2lBi6pc
#N/A,,,,,,,,,,Link to 32. TR-Basics - sin of Q3 angle radians positive,,_mX0moHvXyjfa90RjuD7yO,,https://www.doenet.org/courseactivityeditor//_mX0moHvXyjfa90RjuD7yO
#N/A,,,,,,,,,,Link to 33. TR-Basics - sin of Q3 angle radians negative,,_7OXvf0hEW07uopLis2dJ9,,https://www.doenet.org/courseactivityeditor//_7OXvf0hEW07uopLis2dJ9
#N/A,,,,,,,,,,Link to 34. TR-Basics - sin of Q4 angle radians positive,,_8AvaXaq6A32nzDQV82Rr3,,https://www.doenet.org/courseactivityeditor//_8AvaXaq6A32nzDQV82Rr3
#N/A,,,,,,,,,,Link to 35. TR-Basics - sin of Q4 angle radians negative,,_hpeAis3EIRbc3UnYWvu8U,,https://www.doenet.org/courseactivityeditor//_hpeAis3EIRbc3UnYWvu8U
#N/A,,,,,,,,Quiz 1C - The six trig functions,,,,_7Nk2WO1VS7DkOCtYuCKe6,,https://www.doenet.org/courseactivityeditor//_7Nk2WO1VS7DkOCtYuCKe6
#N/A,,,,,,,,,,,,_8yJllj4b7qrBt6kMgKfUg,,https://www.doenet.org/courseactivityeditor//_8yJllj4b7qrBt6kMgKfUg
#N/A,,,,,,,,,from TR-Basics #79-86,,,_JghCrPwpobzOjLxapeS2k,,https://www.doenet.org/courseactivityeditor//_JghCrPwpobzOjLxapeS2k
#N/A,,,,,,,,,,"Link to 79. TR-Basics - given cos theta and range Q4, find all other ratios",,_YTw167claQj3Zc14KtmGj,,https://www.doenet.org/courseactivityeditor//_YTw167claQj3Zc14KtmGj
#N/A,,,,,,,,,,"Link to 80. TR-Basics - given cos theta and range Q2, find other ratios",,_JosKGlyezkSLlDeAaICZB,,https://www.doenet.org/courseactivityeditor//_JosKGlyezkSLlDeAaICZB
#N/A,,,,,,,,,,"Link to 81. TR-Basics - given cos theta and range Q3, find other ratios",,_xyR3bScJI14CuJfbY1qZV,,https://www.doenet.org/courseactivityeditor//_xyR3bScJI14CuJfbY1qZV
#N/A,,,,,,,,,,"Link to 82. TR-Basics - given cos theta and range Q1, find other ratios",,_4a9f3snn74p5HupOEegym,,https://www.doenet.org/courseactivityeditor//_4a9f3snn74p5HupOEegym
#N/A,,,,,,,,,,"Link to 83. TR-Basics - given sin theta and range Q1, find other ratios",,_H5QreVSw3mKDuH2d4v2Fv,,https://www.doenet.org/courseactivityeditor//_H5QreVSw3mKDuH2d4v2Fv
#N/A,,,,,,,,,,"Link to 84. TR-Basics - given sin theta and range Q2, find other ratios",,_oML3DJICEo0uUa21Hzib7,,https://www.doenet.org/courseactivityeditor//_oML3DJICEo0uUa21Hzib7
#N/A,,,,,,,,,,"Link to 85. TR-Basics - given sin theta and range Q3, find other ratios",,_NvQR9CzTuovWrbWFAT7v5,,https://www.doenet.org/courseactivityeditor//_NvQR9CzTuovWrbWFAT7v5
#N/A,,,,,,,,,,"Link to 86. TR-Basics - given sin theta and range Q4, find other ratios",,_58bFsaiIi1FnbNrS8z88l,,https://www.doenet.org/courseactivityeditor//_58bFsaiIi1FnbNrS8z88l
#N/A,,,,,,,,,,,,_AFn4tNnZtQAhxVC1tO3u4,,https://www.doenet.org/courseactivityeditor//_AFn4tNnZtQAhxVC1tO3u4
#N/A,,,,,,,,,Link to 36. TR-Basics - sin of a large or neg angle in radians,,,_iJyIQ6Bjo97S89Ed1oFOP,,https://www.doenet.org/courseactivityeditor//_iJyIQ6Bjo97S89Ed1oFOP
#N/A,,,,,,,,,Link to 41. TR-Basics - cos of a large or neg angle in radians,,,_2q1wHsyWMozfk0tcBJeda,,https://www.doenet.org/courseactivityeditor//_2q1wHsyWMozfk0tcBJeda
#N/A,,,,,,,,,Link to 46. TR-Basics - sin of a large or neg angle in degrees,,,_zqRL7FcSQIkyLsbU4t3Ga,,https://www.doenet.org/courseactivityeditor//_zqRL7FcSQIkyLsbU4t3Ga
#N/A,,,,,,,,,Link to 48. TR-Basics - cos of a large or neg angle in degrees,,,_vE8Iz3znTRk3X8l9bYzq6,,https://www.doenet.org/courseactivityeditor//_vE8Iz3znTRk3X8l9bYzq6
#N/A,,,,,,,TR-Inv,,,,,_XNNXzOXe2oYdnczFl4bg4,,https://www.doenet.org/courseactivityeditor//_XNNXzOXe2oYdnczFl4bg4
"Inverse trigonometric functions - definitions, graphs, & properties",https://www.doenet.org/portfolioeditor/_KmDzAUep064VclVcOaEof,T2e,_KmDzAUep064VclVcOaEof,,,,1. TR-Inv: Compute sin^-1(theta) in radians,,,,,_omgdaGO2nf1lptn5HtGst,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_omgdaGO2nf1lptn5HtGst
"Inverse trigonometric functions - definitions, graphs, & properties",https://www.doenet.org/portfolioeditor/_w76yKpwKGowj1Y9GrGhrp,T2e,_w76yKpwKGowj1Y9GrGhrp,,,,2. TR-Inv: Compute cos^-1(theta) in radians,,,,,_BHQ8vF1sXihf7T7eYxkxP,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_BHQ8vF1sXihf7T7eYxkxP
"Inverse trigonometric functions - definitions, graphs, & properties",https://www.doenet.org/portfolioeditor/_I2mz7JWE8YDzsTZkbcfEL,T2e,_I2mz7JWE8YDzsTZkbcfEL,,,,3. TR-Inv: Compute arcsin(theta) in radians,,,,,_AcN0RC3Ofh54W5khCkVpP,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_AcN0RC3Ofh54W5khCkVpP
"Inverse trigonometric functions - definitions, graphs, & properties",https://www.doenet.org/portfolioeditor/_180xA3ZxgSkTdrcdBeLBt,T2e,_180xA3ZxgSkTdrcdBeLBt,,,,4. TR-Inv: Compute arccos(theta) in radians,,,,,_oqJiKD3fLpmikgXSQDs3u,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_oqJiKD3fLpmikgXSQDs3u
"Inverse trigonometric functions - definitions, graphs, & properties",https://www.doenet.org/portfolioeditor/_SpNzthF4A4VbOGRen436s,T2e,_SpNzthF4A4VbOGRen436s,,,,5. TR-Inv: Compute sin^-1(theta) in degrees,,,,,_MSTeFY1dpS8TYaxzu0IF3,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_MSTeFY1dpS8TYaxzu0IF3
"Inverse trigonometric functions - definitions, graphs, & properties",https://www.doenet.org/portfolioeditor/_COUBBZj3HgBOY8tIbHjof,T2e,_COUBBZj3HgBOY8tIbHjof,,,,6. TR-Inv: Compute cos^-1(theta) in degrees,,,,,_2CX9UarFlP5GKFZoK1mxI,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_2CX9UarFlP5GKFZoK1mxI
"Inverse trigonometric functions - definitions, graphs, & properties",https://www.doenet.org/portfolioeditor/_XSQq1IJlLVPQtsoS4YXnL,T2e,_XSQq1IJlLVPQtsoS4YXnL,,,,7. TR-Inv: Compute arcsin(theta) in degrees,,,,,_7BglnQ39Wz8nERXksQk9P,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_7BglnQ39Wz8nERXksQk9P
"Inverse trigonometric functions - definitions, graphs, & properties",https://www.doenet.org/portfolioeditor/_fYu8KDqOtUxcnIM0xSo9x,T2e,_fYu8KDqOtUxcnIM0xSo9x,,,,8. TR-Inv - Compute arccos(theta) in degrees,,,,,_mFLqvWsX9SWnzRqJDxqiz,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_mFLqvWsX9SWnzRqJDxqiz
"Inverse trigonometric functions - definitions, graphs, & properties",https://www.doenet.org/portfolioeditor/_LM0ylew1YFnp4cYyDNxwO,T2e,_LM0ylew1YFnp4cYyDNxwO,,,,9. TR-Inv - Compute arctan(theta) in radians,,,,,_eMG8l1XSukEwwIwSybgty,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_eMG8l1XSukEwwIwSybgty
#N/A,,,,,,,10,,,,,_zyzOIEEEVZA8bdgWBfrAl,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_zyzOIEEEVZA8bdgWBfrAl
#N/A,,,,,,,11,,,,,_MiraMADrhGQOyKqDsMtD0,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_MiraMADrhGQOyKqDsMtD0
#N/A,,,,,,,12,,,,,_PRSzcNFntIago6dins2k0,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_PRSzcNFntIago6dins2k0
#N/A,,,,,,,13,,,,,_yaHCEotmy9tUDw3VHmNx0,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_yaHCEotmy9tUDw3VHmNx0
#N/A,,,,,,,14,,,,,_KwFU6X1BBMJJuB79Zh6qa,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_KwFU6X1BBMJJuB79Zh6qa
#N/A,,,,,,,15,,,,,_fvi7qGI7PAt6LE2mJ2MZv,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_fvi7qGI7PAt6LE2mJ2MZv
#N/A,,,,,,,16,,,,,_bCGKCGOXt2APGXOp42Wnj,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_bCGKCGOXt2APGXOp42Wnj
#N/A,,,,,,,17,,,,,_qjLnjYattlmgmfzlS4S6z,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_qjLnjYattlmgmfzlS4S6z
#N/A,,,,,,,18,,,,,_b1k8sl59k1YfrIZJnPkq7,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_b1k8sl59k1YfrIZJnPkq7
#N/A,,,,,,,19,,,,,_bbqj7hmAm9Q4GsDHlqVof,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_bbqj7hmAm9Q4GsDHlqVof
Combinations and compositions of functions,https://www.doenet.org/portfolioeditor/_xmmKPQL00M9wjxfPFWcuJ,T2f,_xmmKPQL00M9wjxfPFWcuJ,,,,20. TR-Inv - Find cos(arcsin(x)),,,,,_6dgBnlCYWJGrAVAt35Y39,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_6dgBnlCYWJGrAVAt35Y39
Combinations and compositions of functions,https://www.doenet.org/portfolioeditor/_r1auaBMyqxBqER387LCQU,T2f,_r1auaBMyqxBqER387LCQU,,,,21. TR-Inv - Find sin(arccos(x)),,,,,_zVVfqiDK0KL9yMzollhj4,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_zVVfqiDK0KL9yMzollhj4
Combinations and compositions of functions,https://www.doenet.org/portfolioeditor/_bbovZpl8V8UiDSAW1ZB4r,T2f,_bbovZpl8V8UiDSAW1ZB4r,,,,22. TR-Inv - Find tan(arcsin(x)),,,,,_HQgmLDxqHWlF1RS9j08Rz,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_HQgmLDxqHWlF1RS9j08Rz
Combinations and compositions of functions,https://www.doenet.org/portfolioeditor/_Sq3fSRnURpTuJOHzk3ySz,T2f,_Sq3fSRnURpTuJOHzk3ySz,,,,23. TR-Inv - Find tan(arccos(x)),,,,,_EYtUZS84U9SK0gszxwNUu,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_EYtUZS84U9SK0gszxwNUu
Combinations and compositions of functions,https://www.doenet.org/portfolioeditor/_YcpJRbnL7EyxLwpfTzYb4,T2f,_YcpJRbnL7EyxLwpfTzYb4,,,,24. TR-Inv - Find sin(arctan(x)),,,,,_Z9MQFoyn12eN1ESXviXLQ,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_Z9MQFoyn12eN1ESXviXLQ
Combinations and compositions of functions,https://www.doenet.org/portfolioeditor/_RmCQhQUOJueQVHM0lpKv4,T2f,_RmCQhQUOJueQVHM0lpKv4,,,,25. TR-Inv - Find cos(arctan(x)),,,,,_1geskd5LPC0LeWo6yEQLv,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_1geskd5LPC0LeWo6yEQLv
#N/A,,,,,,,26,,,,,_X23p3GXoTKzs0yfp3vW02,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_X23p3GXoTKzs0yfp3vW02
#N/A,,,,,,,27,,,,,_8ljyRE6qcXA8drPUIdYPp,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_8ljyRE6qcXA8drPUIdYPp
#N/A,,,,,,,28,,,,,_EoEtcsKMmrTSrS3o08BBg,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_EoEtcsKMmrTSrS3o08BBg
#N/A,,,,,,,29,,,,,_WZcMLkoOyU4mZpKYCzh1T,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_WZcMLkoOyU4mZpKYCzh1T
#N/A,,,,,,,30,,,,,_06A3rFfPteZQDaHjPNq8d,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_06A3rFfPteZQDaHjPNq8d
#N/A,,,,,,,31,,,,,_z42NBsvz7faM9l5hfEYVM,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_z42NBsvz7faM9l5hfEYVM
#N/A,,,,,,,32,,,,,_JrLmH2wbRl4VT9zlICjcw,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_JrLmH2wbRl4VT9zlICjcw
#N/A,,,,,,,33,,,,,_2vkvrGH7JnEXZeTtNnrjC,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_2vkvrGH7JnEXZeTtNnrjC
#N/A,,,,,,,34,,,,,_7XcQiTdlyuSFrxA04UIms,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_7XcQiTdlyuSFrxA04UIms
#N/A,,,,,,,35,,,,,_dpOK9XdIYky4usO8T2jw5,_XNNXzOXe2oYdnczFl4bg4,https://www.doenet.org/courseactivityeditor/_XNNXzOXe2oYdnczFl4bg4/_dpOK9XdIYky4usO8T2jw5
